cluster,locations,violations,avg_severity,junction_ratio,violations_norm,severity_norm,junction_norm,congestion_score,risk_level,v_norm,s_norm,j_norm,recommendation
13,69,643,5.652627580384738,0.0,0.0036333655541024618,0.42681055195249207,0.0,10.88826573205845,Low,0.0036333655541024618,0.42681055195249207,0.0,Routine surveillance
30,56,614,3.3991086512210207,0.0,0.0034684710297378744,0.06421699939195835,0.0,1.8135332465832315,Low,0.0034684710297378744,0.06421699939195835,0.0,Routine surveillance
167,46,561,7.785531600987156,0.0,0.003167112071416387,0.7699970395795906,0.0,19.43995271377475,Low,0.003167112071416387,0.7699970395795906,0.0,Routine surveillance
127,35,561,3.8958758155819453,0.0,0.003167112071416387,0.14414735568494697,0.0,3.7937106164086574,Low,0.003167112071416387,0.14414735568494697,0.0,Routine surveillance
80,23,547,4.141532745269158,0.0,0.003087507818274862,0.1836738125935894,0.0,4.777095783936226,Low,0.003087507818274862,0.1836738125935894,0.0,Routine surveillance
74,14,524,3.013922121161601,0.0,0.0029567294023994995,0.0022400838554467173,0.0,0.2334058605301379,Low,0.0029567294023994995,0.0022400838554467173,0.0,Routine surveillance
181,8,487,5.0936766034327015,0.0,0.002746346733382612,0.3368747551782304,0.0,8.586649683458717,Low,0.002746346733382612,0.3368747551782304,0.0,Routine surveillance
8,41,477,4.306440838419757,0.0,0.002689486552567237,0.21020769725177102,0.0,5.41656162444831,Low,0.002689486552567237,0.21020769725177102,0.0,Routine surveillance
118,27,428,3.82381508243496,0.0,0.0024108716665718994,0.13255270835638944,0.0,3.45847000890405,Low,0.0024108716665718994,0.13255270835638944,0.0,Routine surveillance
187,9,407,6.192804339107393,0.0,0.002291465286859612,0.5137255573785025,0.0,12.980626851674138,Low,0.002291465286859612,0.5137255573785025,0.0,Routine surveillance
168,12,405,3.0521549042191243,0.0,0.002280093250696537,0.008391778635418234,0.0,0.3466000609272481,Low,0.002280093250696537,0.008391778635418234,0.0,Routine surveillance
43,23,396,3.079036436709071,0.0,0.0022289190879626994,0.012717045327284182,0.0,0.45166127845986653,Low,0.0022289190879626994,0.012717045327284182,0.0,Routine surveillance
82,20,393,3.3137250634238584,0.0,0.002211861033718087,0.050478690816389116,0.0,1.394678932432813,Low,0.002211861033718087,0.050478690816389116,0.0,Routine surveillance
35,38,392,3.26622137846264,0.0,0.0022061750156365497,0.04283529822407728,0.0,1.203252956540125,Low,0.0022061750156365497,0.04283529822407728,0.0,Routine surveillance
21,34,392,3.0106926588178387,0.0,0.0022061750156365497,0.001720459986780165,0.0,0.1753820006076971,Low,0.0022061750156365497,0.001720459986780165,0.0,Routine surveillance
69,32,389,4.512587857876077,0.6523940107759522,0.002189116961391937,0.24337696828255462,0.6523940107759522,16.00168138638666,Low,0.002189116961391937,0.24337696828255462,0.6523940107759522,Routine surveillance
104,44,389,7.739991836070725,0.0,0.002189116961391937,0.7626696437764643,0.0,19.198088112095125,Low,0.002189116961391937,0.7626696437764643,0.0,Routine surveillance
79,14,382,3.4697719404597356,0.0,0.0021493148348211747,0.0755867965341489,0.0,2.018628803442993,Low,0.0021493148348211747,0.0755867965341489,0.0,Routine surveillance
61,31,380,3.007721745196007,0.0,0.0021379427986580996,0.0012424368778772843,0.0,0.15933748986641807,Low,0.0021379427986580996,0.0012424368778772843,0.0,Routine surveillance
47,45,360,6.1150095220683465,0.0,0.0020242224370273496,0.5012082899546817,0.0,12.651660595088684,Low,0.0020242224370273496,0.5012082899546817,0.0,Routine surveillance
34,19,332,5.628226620626802,0.0,0.0018650139307442998,0.4228844120075306,0.0,10.684011136032922,Low,0.0018650139307442998,0.4228844120075306,0.0,Routine surveillance
71,15,324,4.550185053941255,1.0,0.0018195257860919999,0.24942639645072484,1.0,21.344831458433642,Low,0.0018195257860919999,0.24942639645072484,1.0,Routine surveillance
135,11,321,3.075707129365666,0.0,0.0018024677318473873,0.01218135629375161,0.0,0.41268197125463346,Low,0.0018024677318473873,0.01218135629375161,0.0,Routine surveillance
0,41,318,4.660614140677869,0.1449067431850789,0.0017854096776027748,0.26719455199965714,0.1449067431850789,8.960589528423778,Low,0.0017854096776027748,0.26719455199965714,0.1449067431850789,Routine surveillance
105,17,316,4.714857702058303,0.0,0.0017740376414396998,0.2759223977567664,0.0,7.0045022024055426,Low,0.0017740376414396998,0.2759223977567664,0.0,Routine surveillance
129,33,310,3.145675097412743,0.0,0.0017399215329504747,0.02343927552900127,0.0,0.6903771802020602,Low,0.0017399215329504747,0.02343927552900127,0.0,Routine surveillance
93,47,303,3.839855795950304,0.0,0.0017001194063797124,0.13513367593729753,0.0,3.480349062815221,Low,0.0017001194063797124,0.13513367593729753,0.0,Routine surveillance
59,21,296,8.449511104678278,0.0,0.0016603172798089498,0.8768320361509699,0.0,22.020419940562785,Low,0.0016603172798089498,0.8768320361509699,0.0,Routine surveillance
62,53,271,6.047631322766477,0.0,0.0015181668277705123,0.4903670672190631,0.0,12.350266690142808,Low,0.0015181668277705123,0.4903670672190631,0.0,Routine surveillance
106,15,244,3.0289206917113893,0.0,0.0013646443395689998,0.004653369543264618,0.0,0.19821289895575545,Low,0.0013646443395689998,0.004653369543264618,0.0,Routine surveillance
122,27,242,8.09384114079236,1.0,0.001353272303405925,0.8196043669818761,1.0,35.57130551275126,Medium,0.001353272303405925,0.8196043669818761,1.0,Periodic monitoring
91,7,240,3.059308793940111,0.0,0.0013419002672428498,0.009542846973469243,0.0,0.31908519037130206,Low,0.0013419002672428498,0.009542846973469243,0.0,Routine surveillance
25,14,237,3.031448149551598,0.0,0.0013248422129982374,0.005060040153113121,0.0,0.20599153660772226,Low,0.0013248422129982374,0.005060040153113121,0.0,Routine surveillance
37,34,233,3.9598095496433094,0.0,0.0013020981406720873,0.15443436036095082,0.0,3.9389848974640955,Low,0.0013020981406720873,0.15443436036095082,0.0,Routine surveillance
85,19,232,4.2002548744743216,0.0,0.00129641212259055,0.19312226459763826,0.0,4.905841342296389,Low,0.00129641212259055,0.19312226459763826,0.0,Routine surveillance
50,24,227,3.018742747702946,0.0,0.0012679820321828625,0.003015727707634086,0.0,0.15147211462182392,Low,0.0012679820321828625,0.003015727707634086,0.0,Routine surveillance
87,12,225,5.169303972874143,0.0,0.0012566099960197874,0.34904327801675683,0.0,8.801478550180109,Low,0.0012566099960197874,0.34904327801675683,0.0,Routine surveillance
131,17,217,3.1338235294117647,0.0,0.0012111218513674875,0.021532345842600886,0.0,0.6109759571470714,Low,0.0012111218513674875,0.021532345842600886,0.0,Routine surveillance
77,16,212,3.1709242724867726,0.0,0.0011826917609598,0.02750189420543403,0.0,0.7585088607934387,Low,0.0011826917609598,0.02750189420543403,0.0,Routine surveillance
111,23,208,3.054343951019143,0.0,0.0011599476886336498,0.008743998554970711,0.0,0.28819682519228673,Low,0.0011599476886336498,0.008743998554970711,0.0,Routine surveillance
64,14,207,3.8335034013605442,0.0,0.0011542616705521125,0.13411156900411014,0.0,3.4220449253358804,Low,0.0011542616705521125,0.13411156900411014,0.0,Routine surveillance
102,21,203,3.186507221751582,0.0,0.0011315175982259623,0.030009207039675356,0.0,0.8181212318854417,Low,0.0011315175982259623,0.030009207039675356,0.0,Routine surveillance
76,27,199,4.973723097666334,0.0,0.0011087735258998124,0.3175741106462324,0.0,8.005879177709799,Low,0.0011087735258998124,0.3175741106462324,0.0,Routine surveillance
58,16,190,4.65876027830487,0.0,0.001057599363165975,0.266896263604967,0.0,6.735862551914133,Low,0.001057599363165975,0.266896263604967,0.0,Routine surveillance
